,district
okg clinic,L
vufiz hospital,B
poe clinic,B
bea clinic,R
nva clinic,W
cucmd hospital,R
zejt clinic,K
xjuc clinic,L
kewaf clinic,B
opq clinic,V
ahr hospital,S
quj Municipal hospital,B
boeac hospital,V
vaegr Municipal hospital,Y
ymfe hospital,L
sznq hospital,V
wxgz hospital,Y
wiu Clinic,B
espe clinic,Y
oia hospital,V
ijko hospital,Y
dksen clinic,Y
alfva Municipal hospital,K
yeo hospital,V
ihuow clinic,W
gaulo clinic,R
gazbq clinic,Y
ellm clinic,V
brelc hospital,W
ayggp hospital,W
crenn hospital,L
zeeuj clinic,R
oum clinic,V
djr hospital,V
eaku clinic,B
pxk clinic,K
henj clinic,K
ahmn Clinic,K
xiaw clinic,Y
npwul hospital,R
fuy hospital,R
zaez clinic,Y
iqayq hospital,Y
hai hospital,L
kdfhu Clinic,V
buk clinic,W
ezyfq clinic,B
bze clinic,Y
qipl clinic,S
gur clinic,R
tymj clinic,L
uiq hospital,W
dtto hospital,Y
xum hospital,R
oaiko clinic,B
uejk hospital,Y
suofi clinic,K
oon Municipal hospital,S
liiv hospital,L
gia clinic,Y
qgeq clinic,R
abhy hospital,R
atkor clinic,L
qla hospital,V
ssl Municipal hospital,S
jrhhj Clinic,Y
tzoa hospital,B
cuzi clinic,W
lric hospital,L
gchfe Clinic,L
nhq clinic,W
uijv hospital,K
iniy hospital,V
iwii hospital,Y
gaua clinic,V
ixar hospital,Y
ihjvo hospital,W
fyan hospital,R
adaay hospital,Y
use clinic,V
wpesd hospital,R
avib clinic,L
thieo clinic,Y
pui hospital,L
eyhju clinic,Y
xyhx hospital,R
otko clinic,Y
fekev clinic,W
mix clinic,R
irhau hospital,R
ixc clinic,R
useip hospital,W
nijq clinic,Y
enfy Clinic,Y
geoaz Municipal hospital,S
uew hospital,Y
lroi clinic,B
auuy clinic,R
ehe clinic,R
skaa clinic,Y
ujuai hospital,R
inek Clinic,B
djx clinic,B
uzo clinic,L
euuh Municipal hospital,Y
haxoo clinic,Y
nkuho clinic,S
lzmy Municipal hospital,L
hqiho hospital,R
eose clinic,B
wgzt clinic,Y
yvm hospital,V
ewcir clinic,Y
mlam clinic,B
qfy Clinic,R
eouc Municipal hospital,V
uaztb Clinic,L
eepi clinic,Y
gomoo clinic,B
aaue clinic,B
uowes hospital,Y
aon Municipal hospital,Y
yrqai clinic,W
jfxcy clinic,V
iep clinic,K
atpe clinic,W
kyve Clinic,K
ebbi hospital,Y
xxv hospital,R
dkakm hospital,V
zkpio clinic,S
oacx clinic,V
cogff hospital,R
xytix hospital,K
oqyka clinic,W
mavx Clinic,Y
vdudl hospital,Y
gug clinic,R
zau hospital,Y
aoe hospital,R
vbu hospital,L
oqsl hospital,R
cgeif hospital,W
pioke clinic,R
tead hospital,B
ray Clinic,R
kwd hospital,V
ieivv clinic,V
blp Municipal hospital,S
auiok hospital,B
xxa clinic,Y
eqic Municipal hospital,R
pplx clinic,W
zsj hospital,W
cos Municipal hospital,V
iaeq hospital,W
dei hospital,R
waalc clinic,V
koo hospital,R
nuo clinic,Y
yrho Clinic,R
qdvo clinic,W
qoarf hospital,K
pzi clinic,R
tdiv Clinic,V
ooahp hospital,B
eoas clinic,S
inyo hospital,B
qnbg clinic,S
wat hospital,Y
oui hospital,L
ezie clinic,Y
utafm hospital,K
bdii clinic,K
log hospital,W
xda clinic,R
eai clinic,Y
bwlb clinic,L
tme clinic,W
cdo hospital,S
apai hospital,Y
zud Clinic,B
aon clinic,V
xvkq clinic,V
cqryo Clinic,W
ozf hospital,Y
eifaq hospital,L
quzee Clinic,W
tlm clinic,B
ntim clinic,R
qat hospital,Y
gkmf clinic,Y
aevr clinic,L
pkfe Municipal hospital,V
hiey clinic,Y
hywgz clinic,B
xoaip clinic,W
yot clinic,B
xokrf hospital,B
reoeu clinic,K
ini hospital,L
aktg clinic,R
xeor hospital,K
uiqz hospital,W
ula clinic,R
afk clinic,R
bur clinic,B
shev clinic,B
